parcel_id,centroid_lat,centroid_lon,parcel_address,parcel_addr_number,parcel_addr_street,parcel_addr_suffix,land_use,condo_id,condo_unit,market_total_value,acreage,homestead,rental_registration,complex_id
2270006001600,39.184056268777354,-84.56029045633656,4800 HAWAIIAN TE,4800,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4800,12500,0,FALSE,TRUE,hawaiian
2270006002400,39.184056268777354,-84.56029045633656,4816 HAWAIIAN TE,4816,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4816,12500,0,FALSE,TRUE,hawaiian
2380002002090,39.18245848769759,-84.51387668442968,5077 WINNESTE AV,5077,WINNESTE,AV,metropolitan housing authority,NA,NA,97830,4.808,FALSE,NA,winton_terrace
2380002003090,39.184679557212434,-84.51005247103872,5139 HOLLAND DR,5139,HOLLAND,DR,metropolitan housing authority,NA,NA,392330,3.09,FALSE,NA,winton_hills_mha
2380006001790,39.18720927339743,-84.51361476098661,661 STRAND LN,661,STRAND,LN,metropolitan housing authority,NA,NA,172300,1.179,FALSE,NA,winton_hills_mha
2380006005500,39.19194378633604,-84.51227326910492,5648 GARDENHILL LN,5648,GARDENHILL,LN,"apartment, 4-19 units",NA,NA,116180,0.275,FALSE,NA,silver_oaks
2270006002700,39.1841909525898,-84.56067307065084,4822 HAWAIIAN TE,4822,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4822,12500,0,FALSE,TRUE,hawaiian
2270006002900,39.1841909525898,-84.56067307065084,4826 HAWAIIAN TE,4826,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4826,12500,0,FALSE,TRUE,hawaiian
2270006003000,39.1841909525898,-84.56067307065084,4828 HAWAIIAN TE,4828,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4828,12500,0,FALSE,TRUE,hawaiian
2270005001800,39.18311663369875,-84.56119103258177,4909 HAWAIIAN TE,4909,HAWAIIAN,TE,"apartment, 40+ units",NA,NA,111300,0.923,FALSE,NA,hawaiian
2270001008400,39.189267016905106,-84.56647795593236,5384 BAHAMA TE,5384,BAHAMA,TE,"apartment, 40+ units",NA,NA,50290,0.498,FALSE,NA,bahama
2270001009900,39.18371474913488,-84.5666752319228,5142 HAWAIIAN TE,5142,HAWAIIAN,TE,metropolitan housing authority,NA,NA,108230,0.275,FALSE,NA,hawaiian
2270001013300,39.18381556824049,-84.56643476591168,5128 HAWAIIAN TE,5128,HAWAIIAN,TE,condominium unit,VALLEYVIEWCONDOMINIUM,UNIT 5128,46250,0,FALSE,TRUE,hawaiian
2270006001900,39.184056268777354,-84.56029045633656,4806 HAWAIIAN TE,4806,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4806,12500,0,FALSE,TRUE,hawaiian
2270006001500,39.184056268777354,-84.56029045633656,4798 HAWAIIAN TE,4798,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4798,12500,0,FALSE,TRUE,hawaiian
2380006002690,39.1877046313527,-84.51016791041394,601 DUTCH COLONY DR,601,DUTCH COLONY,DR,metropolitan housing authority,NA,NA,802580,24.262999999999998,FALSE,NA,winton_hills_mha
2380006004500,39.19165859264617,-84.51287583725826,5635 GARDENHILL LN,5635,GARDENHILL,LN,"apartment, 4-19 units",NA,NA,201400,0.402,FALSE,NA,silver_oaks
2280003022700,39.189826906783594,-84.56722279688911,5474 BAHAMA TE,5474,BAHAMA,TE,"apartment, 40+ units",NA,NA,592440,1.514,FALSE,NA,bahama
5910002002700,39.27516722021685,-84.4971656665254,580 DEWDROP CR,580,DEWDROP,CR,"apartment, 40+ units",NA,NA,4154150,13.279,FALSE,NA,dewdrop
2270001008700,39.18889108124906,-84.56682681358194,5385 BAHAMA TE,5385,BAHAMA,TE,"apartment, 4-19 units",NA,NA,94620,0.504,FALSE,NA,bahama
2270006002500,39.184056268777354,-84.56029045633656,4818 HAWAIIAN TE,4818,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4818,12500,0,FALSE,TRUE,hawaiian
2250001003300,39.15558367821031,-84.56156014631667,2501 WILLIAMSBURG DR,2501,WILLIAMSBURG,DR,"apartment, 40+ units",NA,NA,11718400,22.064,FALSE,NA,villages_at_roll_hill
5910002003000,39.27680774937986,-84.49754936922272,580 DEWDROP CR,580,DEWDROP,CR,"apartment, 40+ units",NA,NA,3022530,14.203999999999999,FALSE,NA,dewdrop
2200056002890,39.17995266105457,-84.5110796492995,4848 WINNESTE AV,4848,WINNESTE,AV,metropolitan housing authority,NA,NA,5804350,37.839,FALSE,NA,winton_terrace
2270001008600,39.18805233927029,-84.56629218856351,5377 BAHAMA TE,5377,BAHAMA,TE,"apartment, 40+ units",NA,NA,809350,6.465000000000001,FALSE,NA,bahama
2270002003000,39.18282197472294,-84.56562528181146,5127 HAWAIIAN TE,5127,HAWAIIAN,TE,"apartment, 40+ units",NA,NA,432970,3.003,FALSE,NA,hawaiian
2270002003100,39.182800461416996,-84.5662428915417,5139 HAWAIIAN TE,5139,HAWAIIAN,TE,"apartment, 40+ units",NA,NA,185730,0.7050000000000001,FALSE,NA,hawaiian
2270001013200,39.18381556824049,-84.56643476591168,5126 HAWAIIAN TE,5126,HAWAIIAN,TE,condominium unit,VALLEYVIEWCONDOMINIUM,UNIT 5126,46250,0,FALSE,TRUE,hawaiian
